OBJECTID *,Shape *,RevDate,SourceAgency,DataSource,HztlAccuracy,GNIS_Name,GlobalID *,Shape_Length,Shape_Area,Lat,Long
4758,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{53238A30-ED94-4DB6-B29C-BDB7CCDC73FE},1829.843738,223799.3521,920613.0247,1452195.281
4759,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{F21029E6-7F6B-4DD1-9A74-3D406DABE83C},1695.80137,178497.1767,920720.5307,1456779.998
4760,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{A716085A-2607-4A6D-9E21-12161A2D6C81},4734.7177,470753.8479,921065.3356,1473913.511
4761,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{07B14BD2-A72B-4CD6-BC38-DE5152D9676D},1667.688682,139341.302,921247.5603,1451886.759
4762,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9726B10E-8EDD-468B-991B-7F35758B4ECE},4169.866154,650596.9908,922157.7924,1451420.556
4763,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9985D570-6A0E-46A1-B9B0-637542C834DF},2389.755505,197690.8398,922544.058,1474216.646
4764,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{402DC534-7383-4A31-B389-25E036AB1381},2345.870948,376088.4938,923059.1027,1458402.907
4765,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B5FB4885-EE54-4274-B29F-C0C6126F96D5},3050.466374,344819.3026,923194.8141,1454290.805
4766,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B526C008-6DC6-402F-BF77-9C9DE34057EE},1847.590736,117025.8457,923498.9944,1469866.077
4767,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5E55E9A1-BFF8-404F-B0F9-CABDD29C6968},7877.877808,1002966.232,922982.4244,1474560.074
4768,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{FB9333EC-4265-432A-9BCE-02C3A73A6218},2176.031275,260784.041,923483.9356,1456060.526
4769,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9592167E-671F-48E6-95AE-541A31071225},2901.418841,467787.3381,923501.1601,1451226.927
4770,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{42435ED0-05EB-4308-8D37-FB6E759BD316},2418.610495,348101.1277,924130.1411,1457224.813
4771,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{EF561B9F-0510-4A2A-83A9-319EDCB301E5},2778.061144,245938.7893,924301.397,1470236.648
4772,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{C8B28E69-C091-460D-932B-FC548C8FC575},4812.732525,1117541.436,924710.9556,1453597.561
4773,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{E5124E29-B010-4441-A7C7-C3ED0C43B906},4129.209996,1039644.792,924783.8841,1457633.92
